name,provider,description,rating,duration
Single Variable Calculus,University of Pennsylvania,Skills you'll gain: Calculus  Mathematics  Mathematical Theory & Analysis  Graph Theory,4.6,Mixed · Course · 1-3 Months
Mathematical Biostatistics Boot Camp 1,Johns Hopkins University,Skills you'll gain: General Statistics  Probability & Statistics  Probability Distribution  Bayesian Statistics  Calculus,4.4,Mixed · Course · 1-4 Weeks
Algebra and Differential Calculus for Data Science,University of Colorado Boulder,Skills you'll gain: Mathematics  Calculus  Algebra  Differential Equations  Theoretical Computer Science  Graph Theory  Mathematical Theory & Analysis  Probability & Statistics  Probability Distribution  Accounting  Algorithms  Big Data  Computer Programming  Corporate Accouting  Data Analysis  Data Management  Data Mining  Data Model  Data Structures  Design and Product  Entrepreneurship  Finance  Investment Management  Leadership and Management  Problem Solving  Product Design  Programming Principles  Research and Design  Software Architecture  Software Engineering,4.3,Intermediate · Course · 1-3 Months
Differential Equations Part I Basic Theory,Korea Advanced Institute of Science and Technology(KAIST),Skills you'll gain: Differential Equations  Mathematics,4.7,Beginner · Course · 1-3 Months
Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,Skills you'll gain: Algebra  Linear Algebra  Mathematics,4.9,Beginner · Course · 1-4 Weeks
頑想學概率：機率一 (Probability (1)),National Taiwan University,Skills you'll gain: Mathematics  Probability & Statistics  General Statistics  Bayesian Statistics  Combinatorics  Probability Distribution,4.8,Beginner · Course · 1-3 Months
Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,Duke University,Skills you'll gain: Computer Graphic Techniques  Computer Graphics  Applied Mathematics  Computer Vision  Machine Learning  Linear Algebra  Calculus  Differential Equations  Geometry,4.7,Mixed · Course · 1-3 Months
Precalculus through Data and Modelling,Johns Hopkins University,Skills you'll gain: Mathematics  Algebra  Data Management  Probability & Statistics  Calculus  Data Model  Data Analysis  Regression  Geometry  Applied Mathematics  Data Analysis Software  Linear Algebra  Mathematical Theory & Analysis,4.7,Beginner · Specialization · 3-6 Months
Math Prep: College & Work Ready,University of North Texas,Skills you'll gain: Mathematics  Algebra  Accounting  Entrepreneurship  Financial Accounting  Geometry  Graph Theory  Leadership and Management  Linear Algebra  Probability & Statistics  Problem Solving  Research and Design,4.0,Beginner · Course · 1-4 Weeks
Essential Linear Algebra for Data Science,University of Colorado Boulder,Skills you'll gain: Algebra  Linear Algebra  Mathematics  Mathematical Theory & Analysis  Computer Graphic Techniques  Computer Graphics  Entrepreneurship  General Statistics  Leadership and Management  Probability & Statistics  Problem Solving  Research and Design,4.6,Intermediate · Course · 1-3 Months
Integral Calculus and Numerical Analysis for Data Science,University of Colorado Boulder,Skills you'll gain: Mathematics  Calculus  Differential Equations  Mathematical Theory & Analysis  Algebra  Algorithms  Linear Algebra  Theoretical Computer Science,4.6,Intermediate · Course · 1-4 Weeks
Algebra: Elementary to Advanced - Functions & Applications,Johns Hopkins University,Skills you'll gain: Algebra  Mathematics  Linear Algebra,4.8,Beginner · Course · 1-4 Weeks
Mathematics for Computer Science,University of London,Skills you'll gain: Mathematics  Computer Architecture  Data Visualization  Microarchitecture  Plot (Graphics)  Theoretical Computer Science,4.2,Beginner · Course · 1-3 Months
Cálculo Diferencial e Integral unidos por el Teorema Fundamental del Cálculo,Tecnológico de Monterrey,Skills you'll gain: Calculus  Mathematics  Algebra  Mathematical Theory & Analysis  Applied Mathematics  Basic Descriptive Statistics  Biostatistics  Data Analysis  Data Analysis Software  Probability & Statistics,4.6,Mixed · Course · 3-6 Months
Álgebra básica,Universidad Nacional Autónoma de México,Skills you'll gain: Algebra  Mathematics,4.8,Mixed · Course · 1-3 Months
Discrete Mathematics,Shanghai Jiao Tong University,Skills you'll gain: Computational Logic  Mathematical Theory & Analysis  Mathematics  Theoretical Computer Science,3.3,Intermediate · Course · 1-3 Months
Introduction to Complex Analysis,Wesleyan University,Skills you'll gain: Mathematics  Mathematical Theory & Analysis  Algebra  Calculus,4.8,Intermediate · Course · 1-3 Months
Math for AI beginner part 1 Linear Algebra,Korea Advanced Institute of Science and Technology(KAIST),Skills you'll gain: Algebra  Linear Algebra  Mathematics,4.7,Beginner · Course · 1-3 Months
Éléments de Géomatique,École Polytechnique Fédérale de Lausanne,Skills you'll gain: Mathematics  Calculus  Data Visualization  Geovisualization  Applied Mathematics  Computer Graphic Techniques  Computer Graphics  Geometry  Linear Algebra,4.7,Intermediate · Course · 1-3 Months
Logic for Economists,University of Amsterdam,Skills you'll gain: Mathematical Theory & Analysis  Mathematics,4.4,Advanced · Course · 1-3 Months
Aléatoire : une introduction aux probabilités - Partie 1,École Polytechnique,Skills you'll gain: Probability & Statistics  Mathematics  Research and Design  Strategy and Operations,4.5,Mixed · Course · 1-3 Months
Traitement d'images : introduction au filtrage,Institut Mines-Télécom,Skills you'll gain: Algorithms  Python Programming,4.5,Mixed · Course · 1-3 Months
Aléatoire : une introduction aux probabilités - Partie 2,École Polytechnique,Skills you'll gain: Research and Design,4.9,Beginner · Course · 1-3 Months
Differential Equations for Engineers,The Hong Kong University of Science and Technology,Skills you'll gain: Differential Equations  Mathematics  Calculus  Linear Algebra  Applied Mathematics,,
Algebra: Elementary to Advanced - Polynomials and Roots,Johns Hopkins University,Skills you'll gain: Algebra  Mathematics,4.8,Beginner · Course · 1-3 Months
Differential Equations Part III Systems of Equations,Korea Advanced Institute of Science and Technology(KAIST),Skills you'll gain: Mathematics  Algebra  Linear Algebra,4.8,Beginner · Course · 1-3 Months
Calculus through Data & Modeling: Precalculus Review,Johns Hopkins University,Skills you'll gain: Calculus  Mathematics  Linear Algebra  Differential Equations  Leadership and Management,4.8,Intermediate · Specialization · 3-6 Months
